x,y,px,py,fx,fy
3,0,2051,1777,0.5341145833,0.8226851852
4,0,2055,1686,0.53515625,0.7805555556
5,0,2060,1623,0.5364583333,0.7513888889
6,0,2055,1571,0.53515625,0.7273148148
7,0,2055,1533,0.53515625,0.7097222222
8,0,2050,1501,0.5338541667,0.6949074074
9,0,2050,1477,0.5338541667,0.6837962963
10,0,2046,1457,0.5328125,0.674537037
11,0,2046,1442,0.5328125,0.6675925926
12,0,2046,1429,0.5328125,0.6615740741
13,0,2046,1418,0.5328125,0.6564814815
14,0,2052,1408,0.534375,0.6518518519
15,0,2052,1399,0.534375,0.6476851852
16,0,2053,1391,0.5346354167,0.6439814815
17,0,2053,1384,0.5346354167,0.6407407407
18,0,2053,1375,0.5346354167,0.6365740741
20,0,2053,1364,0.5346354167,0.6314814815
22,0,2055,1356,0.53515625,0.6277777778
24,0,2057,1348,0.5356770833,0.6240740741
26,0,2058,1341,0.5359375,0.6208333333
28,0,2059,1336,0.5361979167,0.6185185185
32,0,2054,1323,0.5348958333,0.6125
2,-2,1868,3057,0.4864583333,1.415277778
2,2,1820,972,0.4739583333,0.45
4,-4,3316,1660,0.8635416667,0.7685185185
4,-2,2728,1680,0.7104166667,0.7777777778
4,2,1384,1660,0.3604166667,0.7685185185
4,4,844,1620,0.2197916667,0.75
8,-4,2826,1509,0.7359375,0.6986111111
8,-2,2457,1505,0.63984375,0.6967592593
8,2,1639,1494,0.4268229167,0.6916666667
8,4,1254,1480,0.3265625,0.6851851852
12,-4,2610,1428,0.6796875,0.6611111111
12,-2,2334,1425,0.6078125,0.6597222222
12,2,1761,1416,0.45859375,0.6555555556
12,4,1488,1410,0.3875,0.6527777778
16,-4,2605,1433,0.6783854167,0.6634259259
16,-2,2329,1432,0.6065104167,0.662962963
16,2,1829,1386,0.4763020833,0.6416666667
16,4,1606,1380,0.4182291667,0.6388888889
20,-4,2481,1393,0.64609375,0.6449074074
20,-2,2267,1392,0.5903645833,0.6444444444
20,2,1864,1362,0.4854166667,0.6305555556
20,4,1687,1361,0.4393229167,0.6300925926
24,-4,2364,1352,0.615625,0.6259259259
24,-2,2233,1367,0.5815104167,0.6328703704
24,2,1893,1344,0.49296875,0.6222222222
24,4,1740,1344,0.453125,0.6222222222
28,-4,2322,1337,0.6046875,0.6189814815
28,-2,2191,1336,0.5705729167,0.6185185185
28,2,1917,1331,0.49921875,0.6162037037
28,4,1787,1328,0.4653645833,0.6148148148
32,-4,2284,1327,0.5947916667,0.6143518519
32,-2,2174,1324,0.5661458333,0.612962963
32,2,1933,1322,0.5033854167,0.612037037
32,4,1819,1319,0.4736979167,0.6106481481
16,6,2868,1439,0.746875,0.6662037037
24,12,2825,1344,0.7356770833,0.6222222222
28,14,2846,1334,0.7411458333,0.6175925926
16,-6,1238,1439,0.3223958333,0.6662037037
24,-12,1289,1344,0.3356770833,0.6222222222
28,-14,1272,1334,0.33125,0.6175925926
